date,date_end,name,venue,category,start,end,attendance,audience,notes
2026-07-11,,足立の花火,荒川河川敷（足立区）,festival,19:30,20:30,600000,general,例年7月第2土曜開催。北千住駅が全方向で規制。日付は公式発表で要確認
2026-07-25,,隅田川花火大会,隅田川河川敷（浅草・両国）,festival,19:00,20:30,950000,general,例年7月最終土曜開催。浅草・蔵前・両国の全駅が入場規制。日付は要確認
2026-07-28,,葛飾納涼花火大会,江戸川河川敷（柴又側）,festival,19:20,20:30,760000,general,例年7月最終火曜（平日開催）。京成柴又・金町からは比較的拾える。日付は要確認
2026-08-01,,江戸川区花火大会,江戸川河川敷（篠崎）,festival,19:15,20:30,760000,general,例年8月第1土曜。都内随一の駅遠花火で京葉道路まで出てから拾う。日付は要確認
2026-08-15,,神宮外苑花火大会,明治神宮野球場,festival,19:30,20:30,800000,general,例年8月中旬土曜。会場周辺道路は完全規制。信濃町・千駄ヶ谷側で待機。日付は要確認
2026-09-13,2026-09-27,大相撲九月場所,両国国技館,sports,15:00,18:00,11000,senior_wealthy,九月場所15日間。打ち出し18時前後にタニマチ・年配富裕層が銀座・赤坂・料亭方面へ。正面玄関側で待機が定石。日付は要確認
2026-10-31,,ハロウィン渋谷,渋谷スクランブル交差点,festival,18:00,02:00,200000,youth,例年10月末土曜に雑踏化。代官山・恵比寿方面に出て拾う。日付は要確認
2026-12-31,,渋谷カウントダウン,渋谷スクランブル交差点,festival,22:00,02:00,100000,general,大晦日のスクランブル。0時前後に完全規制で終電喪失により確実な需要
2027-01-01,,初詣（明治神宮）,明治神宮,festival,00:00,03:00,800000,senior_wealthy,元日0時前後と早朝6-10時にピーク。年配富裕層の正装客中心。原宿駅は規制
2027-01-01,,初詣（浅草寺）,浅草寺,festival,00:00,03:00,500000,general,元日0時前後と早朝にピーク。仲見世通り規制で雷門外側で拾う
2027-01-10,2027-01-24,大相撲一月場所（初場所）,両国国技館,sports,15:00,18:00,11000,senior_wealthy,初場所15日間。新年最初の本場所で観客層が特に厚い。打ち出し後の銀座・赤坂方面が定石。日付は要確認
2027-03-07,,東京マラソン2027,東京駅・丸の内,sports,09:00,17:00,38000,business,例年3月第1日曜開催。フィニッシュ後ランナーは荷物多めで電車に乗りにくい。地方参加者の羽田・東京駅方面需要。日付は要確認
2027-05-10,2027-05-24,大相撲五月場所（夏場所）,両国国技館,sports,15:00,18:00,11000,senior_wealthy,五月場所15日間。GW明けで観客層が厚い。打ち出し後の銀座・赤坂方面が定石。日付は要確認
